Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
7773,CA-2016-108196,11/25/2016,12/02/2016,Standard Class,CS-12505,Cindy Stewart,Consumer,United States,Lancaster,Ohio,-4609.9846,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499.985,5,0.7,-6599.978
684,US-2017-168116,11/04/2017,11/04/2017,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,-1911.9952,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,4,0.5,-3839.9904
9775,CA-2014-169019,7/26/2014,7/30/2014,Standard Class,LF-17185,Luke Foster,Consumer,United States,San Antonio,Texas,-2945.51424,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,2177.584,8,0.8,-3701.8928
3012,CA-2017-134845,4/17/2017,4/23/2017,Standard Class,SR-20425,Sharelle Roach,Home Office,United States,Louisville,Colorado,-2369.986,West,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,2549.985,5,0.7,-3399.98
4992,US-2017-122714,12/07/2017,12/13/2017,Standard Class,HG-14965,Henry Goldwyn,Corporate,United States,Chicago,Illinois,-2333.5876,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,1889.99,5,0.8,-2929.4845
3152,CA-2015-147830,12/15/2015,12/18/2015,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,Ohio,-1843.99384,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,1799.994,2,0.7,-2639.9912
5311,CA-2017-131254,11/19/2017,11/21/2017,First Class,NC-18415,Nathan Cano,Consumer,United States,Houston,Texas,-1818.2256,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1525.188,6,0.8,-2287.782
9640,CA-2015-116638,1/28/2015,1/31/2015,Second Class,JH-15985,Joseph Holt,Consumer,United States,Concord,North Carolina,-718.92496,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,13,0.4,-1862.3124
1200,CA-2016-130946,04/08/2016,04/12/2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,-1472.75712,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,1088.792,4,0.8,-1850.9464
2698,CA-2014-145317,3/18/2014,3/23/2014,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,-893.5392,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,0.5,-1811.0784
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,-818.5261,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
3325,CA-2014-165309,11/11/2014,11/15/2014,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,-1174.0268,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,896.99,5,0.8,-1480.0335
166,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,-527.9968,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
2929,US-2017-120390,10/19/2017,10/26/2017,Standard Class,TH-21550,Tracy Hopkins,Home Office,United States,Burlington,North Carolina,-906.58528,South,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,1633.188,4,0.7,-1306.5504
7899,CA-2017-128363,8/13/2017,8/18/2017,Standard Class,DC-12850,Dan Campbell,Consumer,United States,Memphis,Tennessee,-854.49234,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1614.582,6,0.7,-1237.8462
4821,CA-2015-140025,04/07/2015,04/11/2015,Standard Class,PF-19120,Peter Fuller,Consumer,United States,San Antonio,Texas,-929.02592,Central,OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,463.248,8,0.8,-1181.2824
2847,CA-2017-152093,09/10/2017,9/15/2017,Standard Class,SN-20560,Skye Norling,Home Office,United States,Chicago,Illinois,-909.1128,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,762.594,3,0.8,-1143.891
8641,US-2017-148551,01/12/2017,1/16/2017,Standard Class,DB-13120,David Bremer,Corporate,United States,Dallas,Texas,-903.176,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98,5,0.8,-1141.47
4356,CA-2015-155600,12/04/2015,12/07/2015,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Clarksville,Tennessee,-731.7604,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1598.058,7,0.7,-1065.372
1804,CA-2017-158379,9/22/2017,9/26/2017,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Philadelphia,Pennsylvania,-195.86812,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4663.736,7,0.2,-1049.3406
6049,CA-2015-105571,11/07/2015,11/11/2015,Standard Class,CP-12340,Christine Phan,Corporate,United States,Miami,Florida,-712.07695,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1345.485,5,0.7,-1031.5385
5321,US-2017-162558,10/02/2017,10/05/2017,First Class,Dp-13240,Dean percer,Home Office,United States,Knoxville,Tennessee,-387.11344,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,2314.116,7,0.4,-1002.7836
8994,CA-2017-159100,10/16/2017,10/21/2017,Standard Class,VP-21760,Victoria Pisteka,Corporate,United States,Columbia,Tennessee,-373.55332,South,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,1875.258,7,0.4,-968.8833
216,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,-647.28,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,9,0.7,-950.4
4129,CA-2014-127299,9/19/2014,9/24/2014,Standard Class,JL-15835,John Lee,Consumer,United States,Charlotte,North Carolina,-466.4973,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985,3,0.5,-944.9946
7642,US-2016-157490,10/06/2016,10/07/2016,First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,-644.796,West,TEC-MA-10001695,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,6,0.7,-938.28
2629,US-2017-165344,11/13/2017,11/15/2017,First Class,SB-20290,Sean Braxton,Corporate,United States,Springfield,Ohio,-641.17165,East,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,652.995,7,0.7,-935.9595
8209,CA-2015-141565,9/20/2015,9/24/2015,Standard Class,BG-11035,Barry Gonzalez,Consumer,United States,Nashville,Tennessee,-627.2232,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1369.764,6,0.7,-913.176
8633,CA-2016-107783,7/28/2016,7/29/2016,First Class,OT-18730,Olvera Toch,Consumer,United States,Bethlehem,Pennsylvania,-627.2232,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1369.764,6,0.7,-913.176
464,CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,-395.2416,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,6,0.5,-814.4832
1370,US-2015-103471,12/24/2015,12/28/2015,Standard Class,JR-15670,Jim Radford,Consumer,United States,Colorado Springs,Colorado,-536.7208,West,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",590.058,7,0.7,-786.744
5199,CA-2016-103982,03/03/2016,03/08/2016,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,-151.20288,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,0.2,-786.0144
1996,US-2017-147221,12/02/2017,12/04/2017,Second Class,JS-16030,Joy Smith,Consumer,United States,Houston,Texas,-602.8096,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,294.62,5,0.8,-766.012
870,CA-2016-158099,09/03/2016,09/05/2016,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,-522.686,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1141.47,5,0.7,-760.98
6640,CA-2014-108609,10/31/2014,11/02/2014,Second Class,AJ-10780,Anthony Jacobs,Corporate,United States,Lorain,Ohio,-277.81056,East,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,1421.664,8,0.4,-734.5264
6263,CA-2016-132479,9/24/2016,9/26/2016,First Class,MK-17905,Michael Kennedy,Corporate,United States,Rockford,Illinois,-569.93104,Central,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,442.372,7,0.8,-729.9138
9232,CA-2014-148383,12/27/2014,12/31/2014,Standard Class,RP-19390,Resi P�lking,Consumer,United States,Phoenix,Arizona,-474.00552,West,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,946.764,6,0.7,-694.2936
5067,CA-2017-142090,11/30/2017,12/07/2017,Standard Class,SC-20380,Shahid Collister,Consumer,United States,Burlington,North Carolina,-247.31336,South,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1781.682,7,0.4,-653.2834
7423,US-2016-114013,3/13/2016,3/15/2016,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,-444.597,East,TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer,449.1,3,0.7,-643.71
7244,CA-2017-118892,8/17/2017,8/22/2017,Second Class,TP-21415,Tom Prescott,Consumer,United States,Philadelphia,Pennsylvania,-171.2646,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,9,0.3,-630.882
950,US-2017-110576,11/28/2017,12/02/2017,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,-223.8384,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,12,0.4,-619.596
7647,US-2014-115196,09/09/2014,9/13/2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Greenville,North Carolina,-281.9978,South,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",1299.99,2,0.5,-571.9956
1714,US-2017-124968,09/08/2017,9/13/2017,Second Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,-269.28125,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.625,7,0.5,-566.5625
1682,CA-2014-122882,09/07/2014,9/13/2014,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,-383.5492,East,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,399.54,4,0.7,-559.356
2359,US-2014-148838,3/17/2014,3/21/2014,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,-213.45904,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,1071.576,4,0.4,-553.6476
8927,CA-2016-168032,1/30/2016,02/03/2016,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,-263.223,Central,FUR-TA-10004256,Furniture,Tables,Bretford �Just In Time� Height-Adjustable Multi-Task Work Tables,626.1,3,0.5,-538.446
9481,CA-2014-126193,09/07/2014,9/14/2014,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Oswego,Illinois,-416.986,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,304.99,5,0.8,-533.7325
3520,CA-2015-124975,6/22/2015,6/25/2015,First Class,MG-17875,Michael Grace,Home Office,United States,Aurora,Illinois,-248.82025,Central,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,796.425,7,0.5,-525.6405
6036,US-2015-155369,4/19/2015,4/25/2015,Standard Class,PG-18820,Patrick Gardner,Consumer,United States,Carrollton,Texas,-401.71744,Central,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,310.392,4,0.8,-512.1468
263,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,-197.9988,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3,0.4,-509.997
8181,CA-2015-119879,11/21/2015,11/25/2015,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Philadelphia,Pennsylvania,-176.08128,East,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",1252.704,8,0.4,-480.2032
7282,CA-2017-159282,10/16/2017,10/21/2017,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Yuma,Arizona,-325.9916,West,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,599.985,5,0.7,-479.988
8252,CA-2015-140221,03/05/2015,03/09/2015,Second Class,MS-17365,Maribeth Schnelling,Consumer,United States,Chicago,Illinois,-366.4384,Central,OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,180.98,5,0.8,-470.548
1864,US-2016-100839,10/13/2016,10/17/2016,Standard Class,NC-18625,Noah Childs,Corporate,United States,Aurora,Colorado,-222.784,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,727.45,5,0.5,-465.568
7650,CA-2015-101889,12/27/2015,12/31/2015,Standard Class,DB-13120,David Bremer,Corporate,United States,Marion,Ohio,-167.8788,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1548.99,9,0.4,-464.697
